ID Véhicule;Tension Batterie;Debut période;Fin Période;Nombre Trajets;Distance;Temps Total;Temps Attente;Temps Conduite;Jours Roulage;Vitesse Moyenne;Km initial; Km final;;;
618059;13.20;22/01/2018;31/01/2018;20;179,290649;05:32;01:17;04:14;7;46.32;4135;4314;;;
618059;13.08;01/02/2018;28/02/2018;61;727,370583;18:22;03:36;14:46;17;48.73;4314;5042;;;
618059;13.10;01/03/2018;30/03/2018;61;758,164178;20:44;04:8;16:36;19;44.35;5042;5800;;;
618059;13.10;03/04/2018;26/04/2018;43;368,597499;13:0;03:20;09:40;13;39.43;5800;6168;;;
630111;13.15;22/01/2018;31/01/2018;32;1403,078549;21:9;02:34;18:35;8;74.98;77860;79263;;;
630111;12.70;02/02/2018;28/02/2018;61;3198,900027;42:51;04:0;38:51;15;73.53;79263;82462;;;
630111;12.78;01/03/2018;30/03/2018;79;3293,477363;50:9;05:3;45:6;20;73.36;82462;85755;;;
630111;12.77;03/04/2018;27/04/2018;68;2940,737126;42:35;04:2;38:32;16;75.77;85755;88696;;;
670817;12.50;24/04/2018;25/04/2018;2;10,015271;00:24;00:7;00:17;2;34.26;153730;153740;;;
675955;12.77;07/02/2018;28/02/2018;31;1193,751476;17:27;01:2;16:25;10;72.68;121564;122758;;;
675955;12.66;01/03/2018;30/03/2018;53;2154,282411;30:35;01:48;28:46;16;72.98;122758;124912;;;
675955;12.70;03/04/2018;27/04/2018;44;2189,128548;30:37;02:57;27:40;15;76.98;124912;127101;;;
703646;12.75;22/01/2018;31/01/2018;23;725,229704;12:46;01:47;10:59;7;65.97;121558;122283;;;
703646;12.50;01/02/2018;28/02/2018;83;3042,976798;47:2;04:2;42:59;15;67.66;122283;125326;;;
703646;12.38;01/03/2018;30/03/2018;103;3490,496039;57:29;05:35;51:53;20;66.30;125326;128817;;;
703646;12.53;03/04/2018;26/04/2018;71;2045,670678;35:9;03:54;31:15;12;64.67;128817;130862;;;
714448;12.75;22/01/2018;31/01/2018;35;1380,775502;21:4;02:45;18:18;8;77.88;4179;5560;;;
714448;12.66;01/02/2018;28/02/2018;58;2104,780651;33:51;04:24;29:27;16;72.49;5560;7665;;;
714448;12.88;01/03/2018;31/03/2018;90;5148,435177;67:2;05:47;61:14;20;83.15;7665;12813;;;
714448;12.88;03/04/2018;27/04/2018;62;3229,127853;44:3;04:15;39:48;17;77.97;12813;16042;;;
721033;12.75;22/01/2018;31/01/2018;37;1608,621285;22:53;02:13;20:39;8;75.33;5000;6609;;;
721033;12.74;01/02/2018;28/02/2018;63;3011,67221;43:31;05:21;38:9;17;78.20;6609;9620;;;
721033;12.86;01/03/2018;30/03/2018;75;3190,753296;46:39;05:47;40:51;22;77.92;9620;12811;;;
